date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:53	35942/35942	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g8.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g8.webp	(from https://www.mahadevbook.com/)
14:04:54	5330/5330	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/laser.html	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/laser.html	(from https://www.mahadevbook.com/)
14:04:54	4124/4124	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/s1.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/s1.webp	(from https://www.mahadevbook.com/)
14:04:55	5295/5295	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/betbhai.html	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/betbhai.html	(from https://www.mahadevbook.com/)
14:04:55	4854/4854	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/s3.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/s3.webp	(from https://www.mahadevbook.com/)
14:04:55	5304/5304	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/tiger.html	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/tiger.html	(from https://www.mahadevbook.com/)
14:04:55	13474/13474	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/s4.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/s4.webp	(from https://www.mahadevbook.com/)
14:04:56	5326/5326	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/cricketbet9.html	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/cricketbet9.html	(from https://www.mahadevbook.com/)
14:04:56	43206/43206	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/s6.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/s6.webp	(from https://www.mahadevbook.com/)
14:04:56	5464/5464	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/betbook.html	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/betbook.html	(from https://www.mahadevbook.com/)
14:04:56	1974/1974	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/s5.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/s5.webp	(from https://www.mahadevbook.com/)
